Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday
January
February
March
April
May
June
July
August
September
October
November
December
one
baseball
basketball
bed
book
box
bus
cat
city
computer
cup
dog
egg
E-mail
fish
fruit
game
guitar
home
Internet
lunch
movie
soccer
song
table
tennis
time
Japan
afternoon
call
club
color
evening
from
good
in
morning
please
English
friend
here
meet
nice
park
pen
picture
store
teacher
thank you
to
too
you’re welcome
a little
about
at
day
go
just
know
like
math
member
music
name
of
 piano
play
practice
really
school
sing
study
want
all
week
write
back
bag
change
Excuse me.
food
have
let’s
look
many
much
now
parent
put
see
take
use
very
favorite
hard
on
subject
team
a lot
also
breakfast
cook
country
delicious
difficult
eat
famous
for
great
hungry
interesting
often
trice
right
usually
with
today
wrong
animal
beautiful
